EIN2,CENSUS_CSA_FIPS,CENSUS_CBSA_FIPS,CENSUS_CBSA_NAME,CENSUS_CBSA_LEGAL_NAME,CENSUS_CBSA_LEGAL_CODE,geometry,CENSUS_BLOCK_CODE,CENSUS_BLOCK_FIPS,CENSUS_BLOCK_NAME,CENSUS_URBAN_AREA,CENSUS_URBAN_AREA_CODE,CENSUS_URBAN_AREA_TYPE,CENSUS_FUNCTIONAL_STATUS,CENSUS_BLOCK_HOUSING_UNIT_COUNT,CENSUS_BLOCK_POPULATION_COUNT,CENSUS_STATE_FIPS,CENSUS_COUNTY_FIPS,CENSUS_TRACT_CODE,CENSUS_TRACT_FIPS,CENSUS_TRACT_NAME,CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,CENSUS_STATE_NAME,ORG_FISCAL_YEAR,ORG_ADDR_FULL,ORG_ADDR_MATCH,LONGITUDE,LATITUDE,ADDR_TYPE,GEOCODER_SCORE,GEOCODER_MATCH,METADATA_VERSION,METADATA_RELEASE_DATE
EIN-00-2027756,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.172492|40.734801,1025.0,340130080001025.0,Block 1025,U,63217.0,U,S,0.0,0.0,34.0,13.0,8000.0,34013008000.0,Census Tract 80,NJ,Essex County,New Jersey,1989,"NEWARK,NJ,07102-2727","07102-2727, NEWARK, NEW JERSEY",-74.172492,40.734801,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2028032,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.0772|41.119893,2005.0,360870121112005.0,Block 2005,U,63217.0,U,S,16.0,73.0,36.0,87.0,12111.0,36087012111.0,Census Tract 121.11,NY,Rockland County,New York,1989,"MONSEY,NY,10952-2498","10952-2498, MONSEY, NEW YORK",-74.0772,41.119893,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2028044,348.0,31080.0,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA Metro Area",M1,-118.601606226614|34.1683921227131,2000.0,60371375022000.0,Block 2000,U,51445.0,U,S,16.0,190.0,6.0,37.0,137502.0,6037137502.0,Census Tract 1375.02,CA,Los Angeles County,California,2010,"21731 VENTURA BLVD STE 300,WOODLAND HLS,CA,91364","21731 VENTURA BLVD, STE 300, WOODLAND HILLS, CALIFORNIA, 91364",-118.601606226614,34.1683921227131,Subaddress,100.0,M,0.0,2024-06-24
EIN-00-2028122,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.949922|41.044221,2009.0,360870130022009.0,Block 2009,U,63217.0,U,S,101.0,164.0,36.0,87.0,13002.0,36087013002.0,Census Tract 130.02,NY,Rockland County,New York,1989,"ORANGEBURG,NY,10962-2193","10962-2193, ORANGEBURG, NEW YORK",-73.949922,41.044221,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2028256,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9382563372969|40.8150475337608,1001.0,360610212001001.0,Block 1001,U,63217.0,U,S,562.0,1388.0,36.0,61.0,21200.0,36061021200.0,Census Tract 212,NY,New York County,New York,1989,"HARLEM,NY,10037-0000","10037, HARLEM, NEW YORK, NEW YORK",-73.9382563372969,40.8150475337608,PostalLoc,100.0,M,0.0,2024-06-24
EIN-00-2028474,548.0,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",M1,-77.0596392686538|38.8043224413695,3001.0,515102007053001.0,Block 3001,U,92242.0,U,S,0.0,0.0,51.0,510.0,200705.0,51510200705.0,Census Tract 2007.05,VA,Alexandria city,Virginia,2010,"1701 DUKE ST STE 200,ALEXANDRIA,VA,22314","1701 DUKE ST, STE 200, ALEXANDRIA, VIRGINIA, 22314",-77.0596392686538,38.8043224413695,Subaddress,100.0,M,0.0,2024-06-24
EIN-00-2028709,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9801305|40.756419,1000.0,360610096001000.0,Block 1000,U,63217.0,U,S,7.0,13.0,36.0,61.0,9600.0,36061009600.0,Census Tract 96,NY,New York County,New York,1989,"NEW YORK,NY,10036-4503","10036-4503, NEW YORK, NEW YORK",-73.9801305,40.756419,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2028847,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9388205|40.845087,4005.0,360610263004005.0,Block 4005,U,63217.0,U,S,79.0,196.0,36.0,61.0,26300.0,36061026300.0,Census Tract 263,NY,New York County,New York,1989,"NEW YORK,NY,10033-3785","10033-3785, NEW YORK, NEW YORK",-73.9388205,40.845087,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2030132,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9823895|40.74543,2002.0,360610072002002.0,Block 2002,U,63217.0,U,S,254.0,467.0,36.0,61.0,7200.0,36061007200.0,Census Tract 72,NY,New York County,New York,1989,"NEW YORK,NY,10016-6901","10016-6901, NEW YORK, NEW YORK",-73.9823895,40.74543,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2030157,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9453815|40.791798,4002.0,360610172004002.0,Block 4002,U,63217.0,U,S,211.0,386.0,36.0,61.0,17200.0,36061017200.0,Census Tract 172,NY,New York County,New York,1989,"NEW YORK,NY,10029-4638","10029-4638, NEW YORK, NEW YORK",-73.9453815,40.791798,PostalExt,100.0,M,0.0,2024-06-24
